formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
DEA/DCD,TFSI,2.5,32.2,3.2,11.2,12703.0,19869.0,4176748.0,13.6,16.7,115.17,156.95,280.15,0.1943502385649178,0.3887004771298357,0.2084746421526232,177.36010258286555,143.47530021417475,209.7630622823716,0.28637,0.04966,0.66397,0.97042,0.16829,2.25002,3.38873,0.0813,0.9098,0.00998,1622.08362,251.1828,1.0726749999999998
THF/DME,TFSI,0.5,20.0,20.0,11.2,8028.0,8071.0,4176748.0,8.0,10.2,72.11,90.12,280.15,0.3074699832428859,0.6149399664857718,0.0387950251356711,108.8495765108916,135.53372116858102,209.7630622823716,0.25467,0.50122,0.24411,0.84173,1.65664,0.80683,3.3052,0.89384,0.89553,0.35693,959.10449,166.36583,0.126175
DME/DCD,TFSI,1.5,20.0,3.2,11.2,8071.0,19869.0,4176748.0,10.2,16.7,90.12,156.95,280.15,0.2374135221245661,0.4748270442491322,0.1438797168131508,135.53372116858102,143.47530021417475,209.7630622823716,0.36556,0.02229,0.61215,1.21167,0.07388,2.02903,3.3145800000000003,0.26924,0.9777,0.01649,1577.67188,202.33658,0.60603
DME/DCD,TFSI,0.2,20.0,3.2,11.2,8071.0,19869.0,4176748.0,10.2,16.7,90.12,156.95,280.15,0.3162947462177474,0.6325894924354948,0.0255578806733788,135.53372116858102,143.47530021417475,209.7630622823716,0.7481,0.00104,0.25086,2.30778,0.00321,0.77386,3.0848500000000003,0.81981,0.99987,0.33841,1433.30261,164.51379,0.080804
DMA/DCD,PF6,1.0,27.8,3.2,-6.2,31374.0,19869.0,9886.0,13.6,16.7,87.12,156.95,144.964,0.2630166962998811,0.5260333925997622,0.1054749555501783,130.98940364974786,143.47530021417475,98.22421574221886,0.5201341197,0.01197472762,0.4678911527,2.06284498,0.04749161,1.85565007,3.96598666,0.248090899,0.99051609,0.026395297,1517.43884,168.239105,0.40102
DMSO/DCD,PF6,1.5,29.8,3.2,-6.2,679.0,19869.0,9886.0,19.3,16.7,78.14,156.95,144.964,0.2394567205923201,0.4789134411846402,0.1408149191115197,104.6290690568062,143.47530021417475,98.22421574221886,0.4250230832,0.01649543515,0.5584814817,1.70330535,0.06610644,2.23814784,4.007559629999999,0.009155548,0.98064714,0.017059147,1618.72717,164.301132,0.5880599999999999
DMSO/DCD,TFSI,0.5,29.8,3.2,11.2,679.0,19869.0,4176748.0,19.3,16.7,78.14,156.95,280.15,0.2948078442471197,0.5896156884942394,0.0577882336293204,104.6290690568062,143.47530021417475,209.7630622823716,0.89964,0.018,0.08236,3.64221,0.07288,0.33342,4.04851,0.28908,0.9929,0.71036,1559.51599,158.86807,0.19602
DME/DCM,PF6,1.0,20.0,1.0,-6.2,8071.0,6344.0,9886.0,10.2,20.4,90.12,84.93,144.964,0.2840941374333799,0.5681882748667598,0.0738587938499301,135.53372116858102,88.23001018449519,98.22421574221886,0.7501115019,1.17e-06,0.2498873324,2.24588945,3.49e-06,0.7481812,2.99407414,0.419980953,0.99999955,0.342730538,1240.33362,133.391006,0.25998
MPL/DCD,TFSI,1.5,27.3,3.2,11.2,13387.0,19869.0,4176748.0,13.3,16.7,99.13,156.95,280.15,0.2358996860175179,0.4717993720350358,0.1461504709737231,139.65543911138744,143.47530021417475,209.7630622823716,0.38828,0.06616,0.54555,1.40119,0.23876,1.96872,3.60867,0.1925,0.92615,0.02392,1628.18555,200.58312,0.619545
DME/DCD,BF4,2.0,20.0,3.2,7.3,8071.0,19869.0,26255.0,10.2,16.7,90.12,156.95,86.81,0.2166340271399109,0.4332680542798218,0.1750489592901336,135.53372116858102,143.47530021417475,72.88470609916,0.2893927992,0.001616527617,0.7089906732,0.9862979,0.00550939,2.41635595,3.4081632399999995,0.20375002,0.99777481,0.00489827,1496.66528,177.544403,0.8080399999999999
MPL/DCM,PF6,1.5,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.2626760914848291,0.5253521829696582,0.1059858627727562,139.65543911138744,88.23001018449519,98.22421574221886,0.5246706088,2.91e-06,0.4753264799,2.0905395,1.16e-05,1.89392881,3.98447991,0.24307193,0.99999767,0.033685256,1345.49377,135.667068,0.403485
